season,week,player_id,player_name,fantasy_points_ppr,fantasy_points,recent_team,opponent_team,passing_yards,rushing_yards,receiving_yards
2024,8,00-0038809,B.Sims,0.0,0.0,GB,JAX,0.0,0.0,0.0
2024,12,00-0038821,R.Jarrett,4.0,3.0,TB,NYG,0.0,0.0,30.0
2024,12,00-0038824,R.Miller,2.4,1.4,TB,NYG,0.0,0.0,14.0
2024,5,00-0038840,B.Tremayne,0.8,-0.2,WAS,CLE,0.0,0.0,-2.0
2024,8,00-0038920,J.Shenker,1.7,0.7,LV,KC,0.0,0.0,7.0
2024,10,00-0038933,D.Kincaid,4.4,2.4,BUF,IND,0.0,0.0,24.0
2024,11,00-0038935,B.Strange,1.6,0.6,JAX,DET,0.0,0.0,6.0
2024,13,00-0038938,J.Hyatt,2.8,0.8,NYG,DAL,0.0,0.0,8.0
2024,12,00-0038951,S.Tucker,8.0,7.0,TB,NYG,0.0,3.0,7.0
2024,12,00-0038976,M.Mims,7.2,4.2,DEN,LV,0.0,-2.0,44.0
2024,12,00-0038977,T.Dell,10.2,7.2,HOU,TEN,0.0,0.0,72.0
2024,12,00-0038979,C.Tillman,2.8,0.8,CLE,PIT,0.0,0.0,28.0
2024,2,00-0038981,W.Morris,7.1,6.1,KC,CIN,0.0,0.0,1.0
2024,12,00-0038994,J.Addison,30.2,22.2,MIN,CHI,0.0,0.0,162.0
2024,13,00-0038996,T.Kraft,13.8,7.8,GB,MIA,0.0,0.0,78.0
2024,12,00-0038997,J.Downs,5.7,2.7,IND,DET,0.0,0.0,27.0
2024,11,00-0038998,J.Haener,-0.2,-0.2,NO,CLE,0.0,-2.0,0.0
2024,12,00-0039021,R.Johnson,8.2,7.2,CHI,MIN,0.0,2.0,10.0
2024,11,00-0039032,T.Spears,2.8,0.8,TEN,MIN,0.0,0.0,8.0
2024,13,00-0039040,D.Achane,21.0,13.0,MIA,GB,0.0,14.0,56.0
2024,12,00-0039041,E.Higgins,1.5,0.5,ARI,SEA,0.0,0.0,5.0
2024,12,00-0039050,P.Durham,3.6,2.6,TB,NYG,0.0,0.0,26.0
2024,12,00-0039052,T.Palmer,2.8,1.8,TB,NYG,0.0,0.0,18.0
2024,13,00-0039062,J.Mingo,1.2,0.2,DAL,NYG,0.0,0.0,2.0
2024,12,00-0039064,Z.Flowers,11.2,6.2,BAL,LAC,0.0,0.0,62.0
2024,13,00-0039065,S.LaPorta,15.6,12.6,DET,CHI,0.0,0.0,6.0
2024,13,00-0039066,M.Mayer,1.5,0.5,LV,KC,0.0,0.0,5.0
2024,3,00-0039067,R.Rice,29.1,17.1,KC,ATL,0.0,1.0,110.0
2024,12,00-0039074,D.Allen,0.0,0.0,LA,PHI,0.0,0.0,0.0
2024,12,00-0039075,P.Nacua,20.7,11.7,LA,PHI,0.0,0.0,117.0
2024,13,00-0039139,J.Gibbs,10.4,8.4,DET,CHI,0.0,87.0,17.0
2024,4,00-0039144,L.Musgrave,4.3,1.3,GB,MIN,0.0,0.0,13.0
2024,13,00-0039146,J.Reed,19.7,16.7,GB,MIA,0.0,23.0,24.0
2024,12,00-0039150,B.Young,16.52,16.52,CAR,KC,263.0,20.0,0.0
2024,12,00-0039152,W.Levis,16.12,16.12,TEN,HOU,278.0,10.0,0.0
2024,12,00-0039163,C.Stroud,15.68,15.68,HOU,TEN,247.0,18.0,0.0
2024,12,00-0039164,A.Richardson,12.98,12.98,IND,DET,172.0,61.0,0.0
2024,12,00-0039165,Z.Charbonnet,2.2,2.2,SEA,ARI,0.0,22.0,0.0
2024,12,00-0039236,J.Wilson,0.0,0.0,PHI,LA,0.0,0.0,0.0
2024,12,00-0039325,C.Steele,2.3,1.3,KC,CAR,0.0,4.0,9.0
2024,13,00-0039337,M.Nabers,15.3,7.3,NYG,DAL,0.0,4.0,69.0
2024,13,00-0039338,B.Bowers,30.2,20.2,LV,KC,0.0,2.0,140.0
2024,12,00-0039342,X.Legette,9.6,5.6,CAR,KC,0.0,0.0,56.0
